contrato_id,Contrato,Órgão,orgao_curto,Situação,Empresa,Período,Valor do Contrato,valor_contrato,municipio_individual,municipio_norm,n_municipios_contrato,valor_rateado_municipio,valor_integral_envolvido,data_inicio_txt,data_fim_txt,ano_inicio,ano_fim,tipo_contrato,objeto,flag_multimunicipal,flag_teste,flag_valor_zero,flag_andamento_vencido,status_prazo
5,AJ/CD/004/19-ANO 6 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,01/08/2024 a 17/03/2026,"R$ 737.356,26",737356.26,Itati,ITATI,3,245785.42,737356.26,01/08/2024,17/03/2026,2024,2026,AJ/CD,ANO 6 - Gestão ambiental da Rota do Sol.,True,False,False,True,Encerrado pela data
5,AJ/CD/004/19-ANO 6 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,01/08/2024 a 17/03/2026,"R$ 737.356,26",737356.26,São Francisco de Paula,SAO FRANCISCO DE PAULA,3,245785.42,737356.26,01/08/2024,17/03/2026,2024,2026,AJ/CD,ANO 6 - Gestão ambiental da Rota do Sol.,True,False,False,True,Encerrado pela data
5,AJ/CD/004/19-ANO 6 - Gestão ambiental da Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,BOURSCHEID ENGENHARIA E MEIO AMBIENTE LTDA.,01/08/2024 a 17/03/2026,"R$ 737.356,26",737356.26,Terra de Areia,TERRA DE AREIA,3,245785.42,737356.26,01/08/2024,17/03/2026,2024,2026,AJ/CD,ANO 6 - Gestão ambiental da Rota do Sol.,True,False,False,True,Encerrado pela data
6,AJ/CD/004/24 - Licenciamento de software e a prestação de serviços - Software SIDER.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Poligraph Sistemas e Representações Ltda,30/01/2024 a 31/01/2025,"R$ 40.091.509,39",40091509.39,Porto Alegre,PORTO ALEGRE,1,40091509.39,40091509.39,30/01/2024,31/01/2025,2024,2025,AJ/CD,Licenciamento de software e a prestação de serviços - Software SIDER.,False,False,False,True,Encerrado pela data
7,AJ/CD/006/20 - Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Perkons S/A,29/04/2020 a 31/01/2025,"R$ 14.683.944,48",14683944.48,Porto Alegre,PORTO ALEGRE,1,14683944.48,14683944.48,29/04/2020,31/01/2025,2020,2025,AJ/CD,Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos,False,False,False,True,Encerrado pela data
8,AJ/CD/007/20 - Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Fiscaltech Tecnologia e Automação LTDA,12/05/2020 a 12/05/2022,"R$ 1.917.998,16",1917998.16,Porto Alegre,PORTO ALEGRE,1,1917998.16,1917998.16,12/05/2020,12/05/2022,2020,2022,AJ/CD,Prestação de Serviços de Captura e Transmissão de Dados e Imagens de Veículos.,False,False,False,True,Encerrado pela data
9,"AJ/CD/026/24 - Instalação de placas de sinalização, na rodovia ERS-431, no km 22,62",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,SINAWAY COMÉRCIO DE SINALIZAÇÃO LTDA,25/06/2024 a 05/07/2024,"R$ 61.863,64",61863.64,Bento Gonçalves,BENTO GONCALVES,1,61863.64,61863.64,25/06/2024,05/07/2024,2024,2024,AJ/CD,"Instalação de placas de sinalização, na rodovia ERS-431, no km 22,62",False,False,False,True,Encerrado pela data
10,"AJ/CD/030/24 - Levantamentos de LVC com vídeo registro, IRI, ATR e deflexão com FWD nas rodovias pavimentadas do DAER.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Paralisado,PAVESYS ENGENHARIA S/S,15/08/2024 a 13/08/2027,"R$ 3.174.232,66",3174232.66,Santa Maria,SANTA MARIA,1,3174232.66,3174232.66,15/08/2024,13/08/2027,2024,2027,AJ/CD,"Levantamentos de LVC com vídeo registro, IRI, ATR e deflexão com FWD nas rodovias pavimentadas do DAER.",False,False,False,False,Vigente pela data
11,AJ/CD/036/25 - Serviços de Assistência Técnica-Apoio p/elaboração de TR e Assessoria em projetos e empreendimentos,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Caixa Econômica Federal,06/05/2025 a 12/05/2027,"R$ 1.129.805,19",1129805.19,Porto Mauá,PORTO MAUA,1,1129805.19,1129805.19,06/05/2025,12/05/2027,2025,2027,AJ/CD,Serviços de Assistência Técnica-Apoio p/elaboração de TR e Assessoria em projetos e empreendimentos,False,False,False,False,Vigente pela data
12,AJ/CD/037/23 - Serviços de diagnóstico e mapeamento dos focos de invasão de Hovenia dulcis Thunb. na REBIO Mata Paludosa.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Concluída,ATAGON GEOINFORMAÇÃO E AMBIENTE LTDA,02/09/2024 a 03/08/2025,"R$ 9.300,00",9300.0,Itati,ITATI,1,9300.0,9300.0,02/09/2024,03/08/2025,2024,2025,AJ/CD,Serviços de diagnóstico e mapeamento dos focos de invasão de Hovenia dulcis Thunb. na REBIO Mata Paludosa.,False,False,False,False,Encerrado pela data
13,"AJ/CD/037/24 - ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,DALFOVO CONSTRUTORA LTDA,03/02/2025 a 25/11/2026,"R$ 21.898.597,32",21898597.32,Candiota,CANDIOTA,4,5474649.33,21898597.32,03/02/2025,25/11/2026,2025,2026,AJ/CD,"ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",True,False,False,False,Vigente pela data
13,"AJ/CD/037/24 - ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,DALFOVO CONSTRUTORA LTDA,03/02/2025 a 25/11/2026,"R$ 21.898.597,32",21898597.32,Capão do Leão,CAPAO DO LEAO,4,5474649.33,21898597.32,03/02/2025,25/11/2026,2025,2026,AJ/CD,"ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",True,False,False,False,Vigente pela data
13,"AJ/CD/037/24 - ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,DALFOVO CONSTRUTORA LTDA,03/02/2025 a 25/11/2026,"R$ 21.898.597,32",21898597.32,Pedras Altas,PEDRAS ALTAS,4,5474649.33,21898597.32,03/02/2025,25/11/2026,2025,2026,AJ/CD,"ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",True,False,False,False,Vigente pela data
13,"AJ/CD/037/24 - ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,DALFOVO CONSTRUTORA LTDA,03/02/2025 a 25/11/2026,"R$ 21.898.597,32",21898597.32,Pinheiro Machado,PINHEIRO MACHADO,4,5474649.33,21898597.32,03/02/2025,25/11/2026,2025,2026,AJ/CD,"ERS - 608, Trecho: Entr. BRS-293/ERS-265 (p/ Cancelão) - Pedras Altas (Início Trv-Mun)",True,False,False,False,Vigente pela data
14,"AJ/CD/072/25 - contratação de empresa especializada na prestação de serviços técnicos de inspeções cadastrais e rotineiras, em obras de sob a jurisdição do DAER.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,FINGER ENGENHEIROS ASSOCIADOS LTDA.,15/09/2025 a 15/09/2026,"R$ 6.415.710,24",6415710.24,Porto Alegre,PORTO ALEGRE,1,6415710.24,6415710.24,15/09/2025,15/09/2026,2025,2026,AJ/CD,"contratação de empresa especializada na prestação de serviços técnicos de inspeções cadastrais e rotineiras, em obras de sob a jurisdição do DAER.",False,False,False,False,Vigente pela data
15,AJ/CD/089/25 - Rodovias sob jurisdição da 2ª RS (no Munícipio de Bento Gonçalves) do DAER. lote único.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,BECK DE SOUZA ENGENHARIA LTDA,11/12/2025 a 11/12/2026,"R$ 16.412.436,45",16412436.45,Bento Gonçalves,BENTO GONCALVES,1,16412436.45,16412436.45,11/12/2025,11/12/2026,2025,2026,AJ/CD,Rodovias sob jurisdição da 2ª RS (no Munícipio de Bento Gonçalves) do DAER. lote único.,False,False,False,False,Vigente pela data
